identifier,close_time,merged,edited,repo,repo_age,repo_commits,experience,open_tasks,pull_lines,pull_desc_len
flutter/flutter#93408,13163766,1,1,flutter/flutter,2575,26530,1,185,10,153
twbs/bootstrap#36532,5905,0,0,twbs/bootstrap,4061,21755,0,123,57402,3
axios/axios#3831,16957260,0,1,axios/axios,2488,1008,0,79,2,119
flutter/flutter#59103,4704382,0,0,flutter/flutter,2057,19129,0,137,15,457
facebook/react-native#13809,4070,0,0,facebook/react-native,827,10583,1,222,2,308
vercel/next.js#3724,1320,0,0,vercel/next.js,490,1821,0,25,2,0
flutter/flutter#57670,120596,1,1,flutter/flutter,2036,18893,15,130,68,445
tensorflow/tensorflow#30101,1457245,1,1,tensorflow/tensorflow,1326,60926,11,296,4,43
tensorflow/tensorflow#30987,137224,1,0,tensorflow/tensorflow,1356,63300,1,278,6,8
flutter/flutter#57988,49772,0,0,flutter/flutter,2042,18905,0,153,10,5
facebook/react-native#9788,8596069,0,1,facebook/react-native,587,7713,12,201,60,75
flutter/flutter#121588,740758,0,1,flutter/flutter,3050,33558,0,193,103,297
nodejs/node#14334,296456,0,0,nodejs/node,3075,18179,0,314,146,174
nodejs/node#11630,2298706,0,1,nodejs/node,2936,16586,4,344,30,280
nodejs/node#31257,234701,0,1,nodejs/node,3979,29235,31,261,123,193
facebook/react-native#20025,23023965,0,0,facebook/react-native,1252,13963,2,235,270,21
facebook/react-native#20025,23023965,0,0,facebook/react-native,1252,13963,2,235,270,21
flutter/flutter#51335,1229110,1,1,flutter/flutter,1950,17705,10,124,61,546
nodejs/node#46083,550441,1,0,nodejs/node,5070,37894,16,402,538,54
tensorflow/tensorflow#56334,13046122,0,1,tensorflow/tensorflow,2400,130366,15,202,14,5
electron/electron#16625,7211,1,1,electron/electron,2150,21097,46,76,663,168
tensorflow/tensorflow#55379,827129,1,1,tensorflow/tensorflow,2332,127167,30,316,288,107
tensorflow/tensorflow#55379,827129,1,1,tensorflow/tensorflow,2332,127167,30,316,288,107
nodejs/node#16802,9613,0,1,nodejs/node,3186,19650,10,206,9,162
nodejs/node#7062,617699,0,1,nodejs/node,2661,14089,0,233,4,71
nodejs/node#18170,1239636,0,1,nodejs/node,3257,20646,5,183,26,423
tensorflow/tensorflow#34480,273421,0,0,tensorflow/tensorflow,1476,73027,2,219,3,0
tensorflow/tensorflow#33638,546248,1,0,tensorflow/tensorflow,1447,70866,0,246,2,0
flutter/flutter#60640,1164923,1,1,flutter/flutter,2078,19396,0,132,38,543
flutter/flutter#35066,189814,1,1,flutter/flutter,1706,14701,73,101,6,18
flutter/flutter#43466,939662,1,1,flutter/flutter,1828,16291,5,150,278,453
facebook/react#13596,904684,1,1,facebook/react,1928,10244,14,85,2,0
tensorflow/tensorflow#55655,1210805,1,1,tensorflow/tensorflow,2355,128132,2,194,165,356
flutter/flutter#119035,2352,1,1,flutter/flutter,3015,32984,14,202,2,318
flutter/flutter#34252,4758717,1,1,flutter/flutter,1692,14526,550,107,1859,0
twbs/bootstrap#25181,61583,0,0,twbs/bootstrap,2443,17420,3,91,6,0
tensorflow/tensorflow#36285,1154090,1,0,tensorflow/tensorflow,1544,77547,0,240,2,5
facebook/react-native#35608,6478321,0,0,facebook/react-native,2872,26287,0,281,33,48
facebook/react-native#35608,6478321,0,0,facebook/react-native,2872,26287,0,281,33,48
flutter/flutter#103092,1716659,1,1,flutter/flutter,2751,28722,205,180,23,328
facebook/react-native#21820,12697637,0,1,facebook/react-native,1357,14837,0,238,359,438
electron/electron#13808,2592614,1,1,electron/electron,1961,19710,0,47,2,0
flutter/flutter#91990,79068,0,0,flutter/flutter,2552,26238,31,165,73,265
flutter/flutter#81140,7499687,0,0,flutter/flutter,2376,23774,0,170,1,324
tensorflow/tensorflow#21132,1374531,0,0,tensorflow/tensorflow,992,37455,0,287,30140,35
facebook/react-native#12489,7205266,0,0,facebook/react-native,754,9666,1,174,6,16
facebook/react-native#12489,7205266,0,0,facebook/react-native,754,9666,1,174,6,16
electron/electron#16276,687351,1,1,electron/electron,2124,20903,320,61,61,177
flutter/flutter#20840,1296793,1,0,flutter/flutter,1398,11650,1,95,34,3
facebook/react-native#7220,5064,0,1,facebook/react-native,452,6070,27,167,71,173
flutter/flutter#120855,1970535,0,0,flutter/flutter,3038,33392,25,193,5805,265
nodejs/node#22315,10825355,0,1,nodejs/node,3467,23282,72,209,48,46
flutter/flutter#27953,532712,1,1,flutter/flutter,1576,13207,2,102,46,0
golang/go#37386,16639,0,1,golang/go,17386,42856,1,175,5,111
tensorflow/tensorflow#24327,2949455,1,1,tensorflow/tensorflow,1132,45754,0,283,1011,42
flutter/flutter#818,3477,1,0,flutter/flutter,412,3095,0,5,4,0
facebook/react-native#11647,17760158,0,0,facebook/react-native,699,9142,0,140,2,235
electron/electron#13505,4599237,1,1,electron/electron,1934,19554,78,45,130,0
flutter/flutter#38643,945557,1,1,flutter/flutter,1758,15301,11,124,111,338
flutter/flutter#38643,945557,1,1,flutter/flutter,1758,15301,11,124,111,338
tensorflow/tensorflow#54505,1353338,1,1,tensorflow/tensorflow,2301,125818,46,181,75,89
twbs/bootstrap#37356,37261,1,0,twbs/bootstrap,4197,21969,5,117,6,299
tensorflow/tensorflow#41296,524620,1,1,tensorflow/tensorflow,1708,90430,0,216,2,19
nodejs/node#45491,1218664,0,0,nodejs/node,5022,37563,19,375,73181,3779
facebook/react#16104,25580123,1,1,facebook/react,2234,12013,5,182,90,205
golang/go#38191,4754,0,1,golang/go,17424,43399,0,170,2,15
flutter/flutter#27778,193562,0,0,flutter/flutter,1572,13153,19,129,54,0
flutter/flutter#123216,2265715,0,0,flutter/flutter,3072,33934,0,198,20,331
flutter/flutter#123216,2265715,0,0,flutter/flutter,3072,33934,0,198,20,331
facebook/react-native#7344,6813288,0,1,facebook/react-native,460,6156,1,169,2,40
flutter/flutter#34188,8659210,1,1,flutter/flutter,1692,14515,231,112,709,80
flutter/flutter#61609,3633951,0,0,flutter/flutter,2093,19585,2,148,16992,439
nodejs/node#31950,4155214,0,1,nodejs/node,4027,29661,9,284,272,120
axios/axios#5420,624840,1,0,axios/axios,3055,1382,76,30,471,86
tensorflow/tensorflow#32636,3163418,0,0,tensorflow/tensorflow,1413,68102,0,225,132,3
tensorflow/tensorflow#42023,6682593,0,1,tensorflow/tensorflow,1733,92621,0,209,5,6
nodejs/node#17560,4568092,0,0,nodejs/node,3219,20241,14,169,2667,78
flutter/flutter#26847,2031901,0,1,flutter/flutter,1551,12959,0,130,20,10
facebook/react-native#14906,866809,0,1,facebook/react-native,891,11186,0,260,2,30
twbs/bootstrap#6342,20966135,1,0,twbs/bootstrap,603,3521,0,59,0,6223
electron/electron#15755,126,0,0,electron/electron,2077,20682,2,72,523,4
tensorflow/tensorflow#56072,3192729,1,1,tensorflow/tensorflow,2378,129301,64,205,10,9
microsoft/vscode#75052,47201696,0,1,microsoft/vscode,1302,49966,7,260,37,0
flutter/flutter#26208,61518,0,1,flutter/flutter,1538,12807,58,146,939,4
facebook/react-native#20293,992554,0,1,facebook/react-native,1267,14068,24,248,2,39
nodejs/node#15126,19744545,0,0,nodejs/node,3120,18668,55,240,602,247
nodejs/node#10713,192812,0,1,nodejs/node,2885,15979,23,355,59,126
nodejs/node#11020,364143,0,1,nodejs/node,2902,16182,35,342,22178,398
electron/electron#26363,2241614,0,1,electron/electron,2795,24294,14,86,19,191
tensorflow/tensorflow#53421,2443534,1,0,tensorflow/tensorflow,2230,122782,4,163,200,29
golang/go#39474,47902224,0,0,golang/go,17493,44311,0,186,22,263
nodejs/node#20075,2388506,0,1,nodejs/node,3347,21955,5,126,110,83
flutter/flutter#100133,5043897,0,0,flutter/flutter,2700,27910,2,171,192,328
tensorflow/tensorflow#52040,394479,1,1,tensorflow/tensorflow,2142,117928,35,202,44,394
tensorflow/tensorflow#26936,41247878,1,1,tensorflow/tensorflow,1230,52087,18,383,38,0
facebook/react-native#12329,290960,0,1,facebook/react-native,743,9535,59,151,209,906
nodejs/node#29522,1999602,0,1,nodejs/node,3859,28088,50,303,330,350
flutter/flutter#42100,9705222,1,1,flutter/flutter,1810,16030,0,147,242,482
tensorflow/tensorflow#31559,94124,1,0,tensorflow/tensorflow,1375,65023,1,262,4,0
tensorflow/tensorflow#47154,79252,1,1,tensorflow/tensorflow,1928,105077,46,215,78,294
nodejs/node#33155,1397268,0,0,nodejs/node,4092,30386,13,294,27,360
facebook/react-native#16500,11602492,0,1,facebook/react-native,998,12066,0,196,345,1341
nodejs/node#12972,262087,0,1,nodejs/node,3007,17428,79,331,63,75
flutter/flutter#30414,671714,1,1,flutter/flutter,1623,13680,7,109,32,328
flutter/flutter#99493,2434542,1,1,flutter/flutter,2688,27777,105,165,691,299
facebook/react#23001,102822,0,0,facebook/react,3127,14695,3,251,8,384
facebook/react#23001,102822,0,0,facebook/react,3127,14695,3,251,8,384
tensorflow/tensorflow#19423,1205111,0,0,tensorflow/tensorflow,926,33758,3,225,846,102
facebook/react-native#33856,12038,0,0,facebook/react-native,2666,24692,0,319,25,149
flutter/flutter#54919,3616927,1,1,flutter/flutter,2002,18441,416,108,740,134
tensorflow/tensorflow#56483,1813002,0,1,tensorflow/tensorflow,2414,131047,12,213,204,19
nodejs/node#9659,17829247,0,1,nodejs/node,2832,15379,0,311,328,326
flutter/flutter#40204,9,1,1,flutter/flutter,1784,15668,768,121,330,7
tensorflow/tensorflow#55665,714547,1,1,tensorflow/tensorflow,2356,128181,10,187,11,53
tensorflow/tensorflow#55665,714547,1,1,tensorflow/tensorflow,2356,128181,10,187,11,53
flutter/flutter#19569,7966,1,1,flutter/flutter,1366,11357,47,83,2,0
flutter/flutter#14610,392540,1,1,flutter/flutter,1206,10072,88,32,433,32
flutter/flutter#14610,392540,1,1,flutter/flutter,1206,10072,88,32,433,32
tensorflow/tensorflow#31238,41037,1,1,tensorflow/tensorflow,1364,64056,12,279,4,0
facebook/react-native#24331,5113174,0,1,facebook/react-native,1528,16381,0,45,2,84
tensorflow/tensorflow#50962,3984078,1,1,tensorflow/tensorflow,2089,114976,63,173,113,45
nodejs/node#10045,11179,0,0,nodejs/node,2846,15469,0,487,4,18
tensorflow/tensorflow#10388,389807,0,0,tensorflow/tensorflow,574,18236,10,96,13,0
tensorflow/tensorflow#51469,3539260,0,0,tensorflow/tensorflow,2106,116113,4,152,248,62
tensorflow/tensorflow#43611,17768049,0,1,tensorflow/tensorflow,1788,96541,3,191,157,50
nodejs/node#6413,10773848,0,0,nodejs/node,2628,13781,101,220,37,65
flutter/flutter#51382,618505,0,1,flutter/flutter,1951,17718,333,118,24,8
twbs/bootstrap#38128,687051,0,1,twbs/bootstrap,4325,22256,0,107,2,346
flutter/flutter#37169,13679394,0,0,flutter/flutter,1740,15053,0,120,23,397
facebook/react-native#24347,63926,0,1,facebook/react-native,1530,16385,0,47,4,176
facebook/react-native#24347,63926,0,1,facebook/react-native,1530,16385,0,47,4,176
facebook/react#9147,2220024,0,0,facebook/react,1381,8319,210,109,55817,48
facebook/react-native#4061,237897,1,0,facebook/react-native,286,3743,4,174,5,2
electron/electron#17121,157796,1,1,electron/electron,2175,21310,413,91,79,155
electron/electron#33265,174892,1,1,electron/electron,3287,26067,0,119,2,98
facebook/react#23000,103551,0,0,facebook/react,3127,14695,2,250,417,384
facebook/react#23000,103551,0,0,facebook/react,3127,14695,2,250,417,384
flutter/flutter#74665,7282,1,1,flutter/flutter,2287,22302,77,176,56,0
facebook/react-native#23804,518132,0,1,facebook/react-native,1498,16066,0,67,56,335
nodejs/node#38575,2140616,0,0,nodejs/node,4463,33677,776,247,318,75
nodejs/node#19896,5316228,0,0,nodejs/node,3340,21800,1,164,6,126
electron/electron#18133,15664510,0,0,electron/electron,2242,21716,0,65,47,219
electron/electron#18133,15664510,0,0,electron/electron,2242,21716,0,65,47,219
electron/electron#18133,15664510,0,0,electron/electron,2242,21716,0,65,47,219
electron/electron#33288,504667,1,1,electron/electron,3290,26074,1266,121,18,301
flutter/flutter#19931,225697,1,1,flutter/flutter,1374,11437,8,84,2,0
electron/electron#14377,2785831,1,1,electron/electron,1995,19925,107,42,121,69
